TXRED,GFP,Double_label,brain,slice,Double_label/GFP_percent,Double_label/TXRED_percent,row_num,section_num,slide_num,percent_axis
12,2,1,JG_85,m4B_r1s3,50,8.333333333,1,3,4,0
8,4,0,JG_85,m6B_r1s3,0,0,1,3,6,1
28,29,0,JG_85,m1B_r1s4,0,0,1,4,1,2
12,79,5,JG_85,m2B_r1s4,6.329113924,41.66666667,1,4,2,3
26,18,3,JG_85,m3B_r1s4,16.66666667,11.53846154,1,4,3,4
2,1,1,JG_87,2A_r1s3_,100,50,1,3,2,0
7,6,6,JG_87,4A_r1s3_,100,85.71428571,1,3,4,1
2,2,2,JG_87,5A_r1s3_,100,100,1,3,5,2
6,6,5,JG_87,6A_r1s3_,83.33333333,83.33333333,1,3,6,3
5,3,3,JG_87,1A_r1s4_,100,60,1,4,1,4
2,1,1,JG_87,2A_r1s4_,100,50,1,4,2,5
2,2,0,JG_88,1A_r3s3_,0,0,3,3,1,0
4,4,4,JG_88,3A_r3s3_,100,100,3,3,3,1
5,4,4,JG_88,4A_r2s3_,100,80,2,3,4,2
7,0,0,JG_88,5A_r2s3_,,0,2,3,5,3
5,3,3,JG_88,1A_r2s4_,100,60,2,4,1,4
27,4,3,JG_88,1A_r1s5_,75,11.11111111,1,5,1,5
43,1,1,JG_88,1A_r3s5_,100,2.325581395,3,5,1,6
3,2,2,JG_89,4A_r2s3_,100,66.66666667,2,3,4,0
7,6,4,JG_89,4A_r2s4_,66.66666667,57.14285714,2,4,4,1
3,3,3,JG_89,5A_r1s4_,100,100,1,4,5,2
8,4,1,JG_89,5A_r2s4_,25,12.5,2,4,5,3
6,1,1,JG_90,2A_r1s4_,100,16.66666667,1,4,2,0
7,2,2,JG_90,2A_r3s4_,100,28.57142857,3,4,2,1
17,3,1,JG_90,3A_r2s4_,33.33333333,5.882352941,2,4,3,2
19,2,2,JG_90,4A_r1s4_,100,10.52631579,1,4,4,3
23,1,1,JG_90,4A_r3s4_,100,4.347826087,3,4,4,4
46,3,2,JG_90,1A_r1s5_,66.66666667,4.347826087,1,5,1,5
47,3,2,JG_90,1A_r3s5_,66.66666667,4.255319149,3,5,1,6
3,5,2,JG_91,1A_r1s4_,40,66.66666667,1,4,1,0
2,7,1,JG_91,1A_r2s4_,14.28571429,50,2,4,1,1
2,7,2,JG_91,2A_r1s4_,28.57142857,100,1,4,2,2
5,9,4,JG_91,3A_r1s4_,44.44444444,80,1,4,3,3
59,14,6,JG_91,4A_r1s4_,42.85714286,10.16949153,1,4,4,4
4,0,0,JG_91,5A_r1s4_,,0,1,4,5,5
53,4,3,JG_91,2A_r1s5_,75,5.660377358,1,5,2,6
43,8,5,JG_91,3A_r1s5_,62.5,11.62790698,1,5,3,7
4,2,2,JG_92,4A_r1s4,100,50,1,4,4,0
7,2,2,JG_92,4A_r2s4,100,28.57142857,2,4,4,1
20,8,7,JG_92,5A_r2s4,87.5,35,2,4,5,2
10,8,8,JG_92,3A_r2s5,100,80,2,5,3,3
5,5,5,JG_92,4A_r1s5,100,100,1,5,4,4
2,2,2,JG_92,4A_r2s5,100,100,2,5,4,5
3,2,2,JG_93,1A_r2s4_,100,66.66666667,2,4,1,0
2,2,2,JG_93,1A_r3s4_,100,100,3,4,1,1
8,5,5,JG_93,2A_r1s4_,100,62.5,1,4,2,2
4,2,2,JG_93,2A_r2s4_,100,50,2,4,2,3
2,2,2,JG_93,2A_r3s4_,100,100,3,4,2,4
17,2,2,JG_93,3A_r2s4_,100,11.76470588,2,4,3,5
37,3,3,JG_93,3A_r3s4_,100,8.108108108,3,4,3,6
20,6,5,JG_93,4A_r1s4_,83.33333333,25,1,4,4,7
13,8,8,JG_93,4A_r2s4_,100,61.53846154,2,4,4,8
39,7,0,JG_94,2A_r1s2_,0,0,1,2,2,0
26,22,0,JG_94,2A_r2s2_,0,0,2,2,2,1
18,22,0,JG_94,3A_r1s2_,0,0,1,2,3,2
19,0,0,JG_94,5A_r1s3_,,0,1,3,5,3
16,4,4,JG_94,1A_r1s4_,100,25,1,4,1,4
32,2,2,JG_94,1A_r2s4_,100,6.25,2,4,1,5
73,4,2,JG_94,4A_r1s5_,50,2.739726027,1,5,4,6
51,4,2,JG_94,4A_r2s5_,50,3.921568627,2,5,4,7
48,0,0,JG_94,5A_r1s5_,,0,1,5,5,8
8,4,4,JG_95,6A_r2s3_,100,50,2,3,6,0
4,3,3,JG_95,1A_r1s4_,100,75,1,4,1,1
8,6,5,JG_95,3A_r1s4_,83.33333333,62.5,1,4,3,2
10,5,5,JG_96,m3B_r2s4,100,50,2,4,3,0
8,7,6,JG_96,m4B_r2s4,85.71428571,75,2,4,4,1
1,1,1,JG_96,m5B_r2s4,100,100,2,4,5,2
5,5,4,JG_96,m6B_r2s4,80,80,2,4,6,3
13,12,11,JG_96,m4B_r1s5,91.66666667,84.61538462,1,5,4,4
3,3,3,JG_96,m5B_r1s5,100,100,1,5,5,5
38,20,17,JG_96,m6B_r1s5,85,44.73684211,1,5,6,6
3,2,1,JG_97,2A_r2s4_,50,33.33333333,2,4,2,0
4,2,2,JG_97,2A_r3s4_,100,50,3,4,2,1
5,4,3,JG_97,3A_r2s4_,75,60,2,4,3,2
6,3,3,JG_97,4A_r1s4_,100,50,1,4,4,3
6,9,2,JG_97,4A_r2s4_,22.22222222,33.33333333,2,4,4,4
21,6,5,JG_97,5A_r1s4_,83.33333333,23.80952381,1,4,5,5
21,29,7,JG_97,5A_r2s4_,24.13793103,33.33333333,2,4,5,6
7,10,7,JG_97,1A_r2s5_,70,100,2,5,1,7
6,3,3,JG_97,2A_r1s5_,100,50,1,5,2,8
4,1,1,JG_97,2A_r3s5_,100,25,3,5,2,9
56,0,0,JG_55,5As8,,,,,,
46,0,0,JG_55,6As1,,,,,,
18,0,0,JG_61,A6046,,,,,,
41,0,0,JG_61,A6052,,,,,,
34,0,0,JG_61,A6055,,,,,,
24,0,0,JG_65,A6064,,,,,,
23,0,0,JG_65,A6067,,,,,,
41,0,0,JG_65,A6071,,,,,,
34,0,0,JG_65,A6074,,,,,,
