TXRED,GFP,Double_label,brain,slice,Double_label/GFP_percent,Double_label/TXRED_percent,row_num,section_num,slide_num,percent_axis
4,2,1,JG_84,3A_r1s2_,50,25,1,2,3,0
2,2,0,JG_84,3A_r3s2_,0,0,3,2,3,1
2,1,0,JG_84,4A_r1s2_,0,0,1,2,4,2
11,0,0,JG_84,4A_r2s2_,,0,2,2,4,3
4,0,0,JG_84,5A_r1s2_,,0,1,2,5,4
9,0,0,JG_84,5A_r2s2_,,0,2,2,5,5
0,1,0,JG_85,m5B_r1s2,0,,1,2,5,0
0,2,0,JG_85,m6B_r1s2,0,,1,2,6,1
0,7,0,JG_85,m6B_r2s2,0,,2,2,6,2
0,4,0,JG_85,m1B_r1s3,0,,1,3,1,3
0,2,0,JG_85,m1B_r2s3,0,,2,3,1,4
2,2,1,JG_86,2A_r2s3_,50,50,2,3,2,0
3,1,1,JG_86,3A_r2s3_,100,33.33333333,2,3,3,1
0,3,0,JG_86,4A_r1s3_,0,,1,3,4,2
0,0,0,JG_86,4A_r2s3_,,,2,3,4,3
2,2,2,JG_87,2A_r1s2_,100,100,1,2,2,0
4,3,3,JG_87,3A_r2s2_,100,75,2,2,3,1
2,3,2,JG_87,4A_r1s2_,66.66666667,100,1,2,4,2
9,4,3,JG_87,4A_r2s2_,75,33.33333333,2,2,4,3
12,9,8,JG_87,5A_r1s2_,88.88888889,66.66666667,1,2,5,4
11,6,3,JG_87,5A_r2s2_,50,27.27272727,2,2,5,5
3,0,0,JG_88,2A_r2s2_,,0,2,2,2,0
2,0,0,JG_88,2A_r3s2_,,0,3,2,2,1
2,0,0,JG_88,3A_r1s2_,,0,1,2,3,2
0,0,0,JG_88,3A_r2s2_,,,2,2,3,3
2,0,0,JG_88,3A_r3s2_,,0,3,2,3,4
5,0,0,JG_88,4A_r1s2_,,0,1,2,4,5
3,0,0,JG_88,4A_r2s2_,,0,2,2,4,6
7,1,1,JG_89,2A_r2s3_,100,14.28571429,2,3,2,0
12,0,0,JG_89,2A_r3s3_,,0,3,3,2,1
13,3,2,JG_89,3A_r1s3_,66.66666667,15.38461538,1,3,3,2
6,1,1,JG_89,3A_r2s3_,100,16.66666667,2,3,3,3
26,0,0,JG_90,4A_r1s4_,,0,1,4,4,0
4,4,4,JG_90,4A_r2s4_,100,100,2,4,4,1
2,2,2,JG_90,4A_r3s4_,100,100,3,4,4,2
0,0,0,JG_91,3A_r1s3_,,,1,3,3,0
1,1,1,JG_91,3A_r2s3_,100,100,2,3,3,1
0,0,0,JG_91,4A_r1s3_,,,1,3,4,2
2,2,2,JG_92,2A_r1s3,100,100,1,3,2,0
3,3,3,JG_92,3A_r1s3,100,100,1,3,3,1
4,3,3,JG_93,2A_r2s3_,100,75,2,3,2,0
6,2,2,JG_93,3A_r1s3_,100,33.33333333,1,3,3,1
7,5,4,JG_93,3A_r2s3_,80,57.14285714,2,3,3,2
11,4,4,JG_93,3A_r3s3_,100,36.36363636,3,3,3,3
1,1,1,JG_94,1A_r2s3_,100,100,2,3,1,0
0,0,0,JG_94,2A_r2s3_,,,2,3,2,1
1,0,0,JG_95,2A_r1s3_,,0,1,3,2,0
7,2,2,JG_95,2A_r2s3_,100,28.57142857,2,3,2,1
0,4,0,JG_95,3A_r1s3_,0,,1,3,3,2
2,2,2,JG_96,m5B_r1s3,100,100,1,3,5,0
26,22,14,JG_96,m6B_r1s3,63.63636364,53.84615385,1,3,6,1
28,18,14,JG_96,m6B_r2s3,77.77777778,50,2,3,6,2
4,3,3,JG_96,m1A_r1s4,100,75,1,4,1,3
2,1,1,JG_97,3A_r3s3_,100,50,3,3,3,0
3,0,0,JG_97,4A_r1s3_,,0,1,3,4,1
0,0,0,JG_97,5A_r1s3_,,,1,3,5,2
3,0,0,JG_97,5A_r2s3_,,0,2,3,5,3
0,0,0,JG_55,3As7,,,,,,
0,0,0,JG_55,3As8,,,,,,
0,0,0,JG_55,4As1,,,,,,
0,0,0,JG_61,4As1,,,,,,
0,0,0,JG_61,4As2,,,,,,
1,0,0,JG_61,4As3,,,,,,
0,0,0,JG_61,4As5,,,,,,
0,0,0,JG_65,3As2,,,,,,
0,0,0,JG_65,3As3,,,,,,
0,0,0,JG_65,3As4,,,,,,
