TXRED,GFP,Double_label,brain,slice,Double_label/GFP_percent,Double_label/TXRED_percent,row_num,section_num,slide_num,percent_axis
9,6,6,JG_85,a_Brnstm5B_r1s2,100,66.66666667,1,2,5,0
7,2,2,JG_85,a_Brnstm5B_r2s2,100,28.57142857,2,2,5,1
15,3,3,JG_85,a_Brnstm6B_r1s2,100,20,1,2,6,2
21,2,2,JG_85,a_Brnstm6B_r2s2,100,9.523809524,2,2,6,3
36,2,2,JG_85,a_Brnstm1B_r1s3,100,5.555555556,1,3,1,4
20,3,3,JG_85,a_Brnstm1B_r2s3,100,15,2,3,1,5
34,2,2,JG_85,a_Brnstm2B_r1s3,100,5.882352941,1,3,2,6
2,2,2,JG_86,a_brstm1A_r1s3_,100,100,1,3,1,0
4,4,4,JG_86,a_brstm2A_r1s3_,100,100,1,3,2,1
0,0,0,JG_86,a_brstm2A_r2s3_,,,2,3,2,2
4,7,5,JG_86,a_brstm3A_r1s3_,71.42857143,125,1,3,3,3
4,4,4,JG_86,a_brstm3A_r2s3_,100,100,2,3,3,4
10,3,3,JG_86,a_brstm4A_r1s3_,100,30,1,3,4,5
6,5,3,JG_86,a_brstm4A_r2s3_,60,50,2,3,4,6
8,6,2,JG_87,a_brstm3A_r1s2_,33.33333333,25,1,2,3,0
8,11,6,JG_87,a_brstm3A_r2s2_,54.54545455,75,2,2,3,1
5,6,3,JG_87,a_brstm4A_r1s2_,50,60,1,2,4,2
25,11,6,JG_87,a_brstm4A_r2s2_,54.54545455,24,2,2,4,3
5,3,0,JG_87,a_brstm5A_r1s2_,0,0,1,2,5,4
3,3,3,JG_87,a_brstm5A_r2s2_,100,100,2,2,5,5
4,29,1,JG_88,a_brstm2A_r3s2_,3.448275862,25,3,2,2,0
3,19,1,JG_88,a_brstm3A_r1s2_,5.263157895,33.33333333,1,2,3,1
8,23,3,JG_88,a_brstm3A_r2s2_,13.04347826,37.5,2,2,3,2
6,24,1,JG_88,a_brstm3A_r3s2_,4.166666667,16.66666667,3,2,3,3
3,14,1,JG_88,a_brstm4A_r1s2_,7.142857143,33.33333333,1,2,4,4
4,4,1,JG_88,a_brstm4A_r2s2_,25,25,2,2,4,5
2,3,1,JG_89,a_brstm2A_r1s3_,33.33333333,50,1,3,2,0
8,17,6,JG_89,a_brstm2A_r2s3_,35.29411765,75,2,3,2,1
17,15,8,JG_89,a_brstm2A_r3s3_,53.33333333,47.05882353,3,3,2,2
7,6,0,JG_89,a_brstm3A_r1s3_,0,0,1,3,3,3
3,6,2,JG_89,a_brstm3A_r2s3_,33.33333333,66.66666667,2,3,3,4
14,11,3,JG_89,a_brstm4A_r1s3_,27.27272727,21.42857143,1,3,4,5
7,0,0,JG_90,a_brstm1A_r1s4_,,0,1,4,1,0
8,1,1,JG_90,a_brstm3A_r1s4_,100,12.5,1,4,3,1
11,1,1,JG_90,a_brstm3A_r2s4_,100,9.090909091,2,4,3,2
20,0,0,JG_90,a_brstm4A_r1s4_,,0,1,4,4,3
28,1,1,JG_90,a_brstm4A_r2s4_,100,3.571428571,2,4,4,4
18,0,0,JG_90,a_brstm4A_r3s4_,,0,3,4,4,5
6,1,1,JG_91,a_brstm1A_r2s3_,100,16.66666667,2,3,1,0
1,2,0,JG_91,a_brstm2A_r1s3_,0,0,1,3,2,1
0,1,0,JG_91,a_brstm2A_r2s3_,0,,2,3,2,2
0,1,0,JG_91,a_brstm3A_r1s3_,0,,1,3,3,3
3,2,1,JG_91,a_brstm3A_r2s3_,50,33.33333333,2,3,3,4
2,2,0,JG_91,a_brstm4A_r1s3_,0,0,1,3,4,5
4,0,0,JG_91,a_brstm4A_r2s3_,,0,2,3,4,6
5,5,5,JG_92,a_DTN5A_r2s2_10,100,100,2,2,5,0
4,2,2,JG_92,a_DTN1A_r1s3_10,100,50,1,3,1,1
5,1,1,JG_92,a_DTN1A_r2s3_10,100,20,2,3,1,2
11,1,1,JG_92,a_DTN2A_r1s3_10,100,9.090909091,1,3,2,3
0,0,0,JG_92,a_DTN3A_r1s3_10,,,1,3,3,4
5,3,1,JG_92,a_DTN3A_r2s3_10,33.33333333,20,2,3,3,5
4,3,3,JG_93,a_brstm2A_r1s3_,100,75,1,3,2,0
4,4,2,JG_93,a_brstm2A_r2s3_,50,50,2,3,2,1
3,2,2,JG_93,a_brstm2A_r3s3_,100,66.66666667,3,3,2,2
4,5,3,JG_93,a_brstm3A_r1s3_,60,75,1,3,3,3
13,10,7,JG_93,a_brstm3A_r2s3_,70,53.84615385,2,3,3,4
8,3,2,JG_93,a_brstm3A_r3s3_,66.66666667,25,3,3,3,5
15,9,5,JG_93,a_brstm4A_r1s3_,55.55555556,33.33333333,1,3,4,6
36,1,1,JG_94,a_brstm3A_r2s1_,100,2.777777778,2,1,3,0
22,1,0,JG_94,a_brstm1A_r3s2_,0,0,3,2,1,1
37,1,0,JG_94,a_brstm2A_r2s2_,0,0,2,2,2,2
13,4,0,JG_94,a_brstm1A_r2s3_,0,0,2,3,1,3
47,0,0,JG_94,a_brstm3A_r1s3_,,0,1,3,3,4
5,3,3,JG_95,a_brstm1A_r2s3_,100,60,2,3,1,0
2,1,1,JG_95,a_brstm2A_r1s3_,100,50,1,3,2,1
8,7,6,JG_95,a_brstm3A_r1s3_,85.71428571,75,1,3,3,2
5,3,3,JG_96,a_Brnstm5B_r1s3,100,60,1,3,5,0
5,5,5,JG_96,a_Brnstm5B_r2s3,100,100,2,3,5,1
9,6,5,JG_96,a_Brnstm6B_r1s3,83.33333333,55.55555556,1,3,6,2
7,3,3,JG_96,a_Brnstm6B_r2s3,100,42.85714286,2,3,6,3
11,9,4,JG_96,a_Brnstm1A_r1s4,44.44444444,36.36363636,1,4,1,4
4,2,2,JG_97,a_brstm3A_r2s3_,100,50,2,3,3,0
0,0,0,JG_97,a_brstm3A_r3s3_,,,3,3,3,1
13,3,3,JG_97,a_brstm4A_r1s3_,100,23.07692308,1,3,4,2
3,3,3,JG_97,a_brstm4A_r2s3_,100,100,2,3,4,3
5,2,2,JG_97,a_brstm5A_r1s3_,100,40,1,3,5,4
7,,,JG_55,3As8_,,,1,8,3,3
4,,,JG_55,4As_1,,,1,1,4,4
2,,,JG_55,4As1_,,,1,1,4,5
3,,,JG_55,4As3_,,,1,3,4,7
11,,,JG_55,4As4_,,,1,4,4,8
2,,,JG_61,3As8_,,,1,8,3,1
2,,,JG_61,4As1_,,,1,1,4,2
5,,,JG_61,4As2_,,,1,2,4,3
10,,,JG_61,4As3_,,,1,3,4,4
4,,,JG_61,4As4_,,,1,4,4,5
5,,,JG_65,3As2_,,,,2,3,2
3,,,JG_65,3As3_,,,,3,3,3
3,,,JG_65,3As4_,,,,4,3,4
