,Brain,group,DTN_group,LMN_group,DTN surround location,DTN surround amount,LMN surround location,LMN surround amount,num_LMN_slices_filled,avg_pct_LMN_fill,num_LMN_slices_mostly_filled_50,num_LMN_slices_mostly_filled_30,ctb_area_um_sqrd,ctb_area_mm_sqrd,LMN_ctb_area_um_sqrd,LMN_ctb_area_mm_sqrd,double_comp_group,SGN_ipsi_to_DTN_total_count,SGN_ipsi_to_DTN_avg_count,SGN_ipsi_to_LMN_total_count,SGN_ipsi_to_LMN_avg_count,SGN_ipsi_Double_label_total_count,SGN_ipsi_Double_label_avg_count,SGN_ipsi_avg_count_Double_label_percent_to_LMN,SGN_ipsi_avg_count_Double_label_percent_to_DTN,SGN_ipsi_total_count_Double_label_percent_to_LMN,SGN_ipsi_total_count_Double_label_percent_to_DTN,SGN_contra_to_DTN_total_count,SGN_contra_to_DTN_avg_count,SGN_contra_to_LMN_total_count,SGN_contra_to_LMN_avg_count,SGN_contra_Double_label_total_count,SGN_contra_Double_label_avg_count,SGN_contra_avg_count_Double_label_percent_to_LMN,SGN_contra_avg_count_Double_label_percent_to_DTN,SGN_contra_total_count_Double_label_percent_to_LMN,SGN_contra_total_count_Double_label_percent_to_DTN,DTN_ipsi_to_DTN_total_count,DTN_ipsi_to_DTN_avg_count,DTN_ipsi_to_LMN_total_count,DTN_ipsi_to_LMN_avg_count,DTN_ipsi_Double_label_total_count,DTN_ipsi_Double_label_avg_count,DTN_ipsi_avg_count_Double_label_percent_to_LMN,DTN_ipsi_avg_count_Double_label_percent_to_DTN,DTN_ipsi_total_count_Double_label_percent_to_LMN,DTN_ipsi_total_count_Double_label_percent_to_DTN,DTN_contra_to_DTN_total_count,DTN_contra_to_DTN_avg_count,DTN_contra_to_LMN_total_count,DTN_contra_to_LMN_avg_count,DTN_contra_Double_label_total_count,DTN_contra_Double_label_avg_count,DTN_contra_avg_count_Double_label_percent_to_LMN,DTN_contra_avg_count_Double_label_percent_to_DTN,DTN_contra_total_count_Double_label_percent_to_LMN,DTN_contra_total_count_Double_label_percent_to_DTN
0,JG_55,LMN_hit,,LMN_hit,,,,medium,7,0.47,5,6,830875.0,0.83,302037.0,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,27.0,5.399998920000216,0.0,0.0,0.0,,0.0,,0.0,0.0,102.0,50.99997450001275,0.0,0.0,0.0,,0.0,,0.0,0.0,102.0,50.99997450001275,0.0,0.0,0.0,,0.0,
1,JG_61,LMN_hit,,LMN_hit,,,,small,1,0.77,1,1,630605.0,0.63,56841.0,0.06,,0.0,0.0,1.0,0.24999993750001562,0.0,0.0,0.0,,0.0,,0.0,0.0,23.0,4.599999080000184,0.0,0.0,0.0,,0.0,,0.0,0.0,93.0,30.99998966667011,0.0,0.0,0.0,,0.0,,0.0,0.0,93.0,30.99998966667011,0.0,0.0,0.0,,0.0,
2,JG_65,LMN_hit,,LMN_hit,,,,large,2,0.43,1,1,2596577.0,2.6,532701.0,0.53,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,11.0,3.6666654444448517,0.0,0.0,0.0,,0.0,,0.0,0.0,122.0,30.499992375001906,0.0,0.0,0.0,,0.0,,0.0,0.0,122.0,30.499992375001906,0.0,0.0,0.0,,0.0,
3,JG_84,"DTN_adjacent, LMN_adjacent",DTN_adjacent,LMN_adjacent,medial,medium,"dorsal, caudal",small,0,0.0,0,0,,,,,double_adjacent,5.0,0.8333331944444675,32.0,5.333332444444593,1.0,0.16666663888889352,0.03125,0.2,0.03125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,JG_88,"DTN_hit,LMN_miss",DTN_hit,LMN_miss,"ventral, lateral",,,,0,0.0,0,0,,,,,double_adjacent,0.0,0.0,17.0,2.4285710816327026,0.0,0.0,0.0,,0.0,,113.0,18.83333019444497,28.0,4.6666658888890185,8.0,1.3333331111111482,0.2857142857142857,0.07079646017699115,0.2857142857142857,0.07079646017699115,18.0,2.571428204081685,93.0,13.285712387755373,15.0,2.1428568367347376,0.16129032258064516,0.8333333333333334,0.16129032258064516,0.8333333333333334,18.0,2.571428204081685,93.0,13.285712387755373,15.0,2.1428568367347376,0.16129032258064516,0.8333333333333334,0.16129032258064516,0.8333333333333334
5,JG_85,"double_hit, DTN_hit, LMN_hit",DTN_hit,LMN_hit,"dorsal, medial, caudal",medium,"medial, dorsal",small,5,0.28,2,3,928364.0,0.93,155363.0,0.16,double_hit,0.0,0.0,16.0,3.199999360000128,0.0,0.0,0.0,,0.0,,142.0,20.285711387755516,20.0,2.85714244897965,20.0,2.85714244897965,1.0,0.14084507042253522,1.0,0.14084507042253522,86.0,17.199996560000688,132.0,26.399994720001054,9.0,1.799999640000072,0.06818181818181819,0.10465116279069767,0.06818181818181818,0.10465116279069768,86.0,17.199996560000688,132.0,26.399994720001054,9.0,1.799999640000072,0.06818181818181819,0.10465116279069767,0.06818181818181818,0.10465116279069768
6,JG_86,"DTN_adjacent, LMN_adjacent",DTN_adjacent,LMN_adjacent,ventricle,small,"dorsal,tuberomammillary",medium,4,0.08,0,0,347723.0,0.35,31080.0,0.03,double_adjacent,6.0,1.4999996250000938,5.0,1.249999687500078,2.0,0.49999987500003124,0.4,0.3333333333333333,0.4,0.3333333333333333,25.0,3.571428061224563,30.0,4.285713673469475,21.0,2.9999995714286327,0.7000000000000001,0.84,0.7,0.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,JG_87,"LMN_adjacent, DTN_miss",DTN_miss,LMN_adjacent,,,medial ,small,2,0.01,0,0,72507.0,0.07,3712.0,0.0,,40.0,6.66666555555574,27.0,4.4999992500001245,21.0,3.4999994166667636,0.7777777777777778,0.525,0.7777777777777778,0.525,54.0,8.999998500000249,40.0,6.66666555555574,20.0,3.33333277777787,0.5,0.3703703703703704,0.5,0.37037037037037035,24.0,3.9999993333334443,19.0,3.166666138888977,18.0,2.9999995000000834,0.9473684210526315,0.7500000000000001,0.9473684210526315,0.75,24.0,3.9999993333334443,19.0,3.166666138888977,18.0,2.9999995000000834,0.9473684210526315,0.7500000000000001,0.9473684210526315,0.75
8,JG_89,"double_hit, DTN_hit, LMN_hit",DTN_hit,LMN_hit,"dorsal,lateral",medium,medial,small,2,0.41,1,1,273814.0,0.27,87202.0,0.09,double_hit,5.0,1.249999687500078,38.0,9.499997625000594,4.0,0.9999997500000625,0.10526315789473684,0.8,0.10526315789473684,0.8,58.0,9.666665055555823,51.0,8.49999858333357,20.0,3.33333277777787,0.392156862745098,0.3448275862068966,0.39215686274509803,0.3448275862068966,15.0,3.749999062500234,21.0,5.2499986875003275,10.0,2.499999375000156,0.4761904761904762,0.6666666666666666,0.47619047619047616,0.6666666666666666,15.0,3.749999062500234,21.0,5.2499986875003275,10.0,2.499999375000156,0.4761904761904762,0.6666666666666666,0.47619047619047616,0.6666666666666666
9,JG_90,"DTN_hit,LMN_adjacent",DTN_hit,LMN_adjacent,,none,"dorsal, injection_track",small,2,0.02,0,0,37857.0,0.04,4575.0,0.0,single_hit_LMN,32.0,10.666663111112296,6.0,1.9999993333335555,6.0,1.9999993333335555,1.0,0.1875,1.0,0.1875,92.0,15.333330777778203,3.0,0.49999991666668053,3.0,0.49999991666668053,1.0,0.03260869565217391,1.0,0.03260869565217391,165.0,23.571425204082114,15.0,2.1428568367347376,11.0,1.5714283469388075,0.7333333333333333,0.06666666666666667,0.7333333333333333,0.06666666666666667,165.0,23.571425204082114,15.0,2.1428568367347376,11.0,1.5714283469388075,0.7333333333333333,0.06666666666666667,0.7333333333333333,0.06666666666666667
